path,rows,parsed_ts,parse_fail,out_of_order,duplicate_ts,negative_values,min_ts,max_ts,min_tp,max_tp,issue_count
data\g6_data\SENSEX\this_week\+500\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,864.4,963.45,0
data\g6_data\SENSEX\this_week\+500\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,758.65,959.91,0
data\g6_data\SENSEX\this_week\+500\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,572.25,785.7,0
data\g6_data\SENSEX\this_week\+500\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,300.51,674.6875,0
data\g6_data\SENSEX\this_week\+600\2025-09-15.csv,186,186,0,0,0,0,1757909010000,1757928660000,703.4000000000001,779.0,0
data\g6_data\SENSEX\this_week\+600\2025-09-16.csv,14,14,0,0,0,0,1757995020000,1758016800000,635.75,793.6899999999999,0
data\g6_data\SENSEX\this_week\+600\2025-09-17.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+600\2025-09-18.csv,117,117,0,0,0,0,1758169830000,1758186840000,313.39,627.65,0
data\g6_data\SENSEX\this_week\+600\2025-09-19.csv,12,12,0,0,6,0,1758256140000,1758256440000,727.24,843.75,0
data\g6_data\SENSEX\this_week\+600\2025-09-22.csv,568,568,0,0,284,0,1758517800000,1758535170000,593.6800000000001,747.9,0
data\g6_data\SENSEX\this_week\+600\2025-09-30.csv,465,465,0,0,8,0,1759209870000,1759226370000,559.05,746.3399999999999,0
data\g6_data\SENSEX\this_week\+600\2025-10-01.csv,249,249,0,0,0,0,1759292190000,1759311900000,496.84999999999997,935.28,0
data\g6_data\SENSEX\this_week\+600\2025-10-03.csv,172,172,0,0,3,0,1759463520000,1759481370000,757.95,846.3499999999999,0
data\g6_data\SENSEX\this_week\+600\2025-10-06.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+600\2025-10-07.csv,22,22,0,0,0,0,1759816470000,1759830930000,544.89,695.85,0
data\g6_data\SENSEX\this_week\+600\2025-10-08.csv,493,493,0,0,0,0,1759895190000,1759917600000,393.79999999999995,712.85,0
data\g6_data\SENSEX\this_week\+600\2025-10-09.csv,129,129,0,0,0,0,1759995000000,1760000580000,512.8,661.4000000000001,0
data\g6_data\SENSEX\this_week\+600\2025-10-10.csv,58,58,0,0,0,0,1760068380000,1760087940000,718.8,850.58,0
data\g6_data\SENSEX\this_week\+600\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,180.96,740.42,0
data\g6_data\SENSEX\this_week\+600\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,930.5,1023.75,0
data\g6_data\SENSEX\this_week\+600\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,839.95,975.2,0
data\g6_data\SENSEX\this_week\+600\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,775.3,162000.0,1
data\g6_data\SENSEX\this_week\+600\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,594.95,805.47,0
data\g6_data\SENSEX\this_week\+600\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,361.79999999999995,725.7,0
data\g6_data\SENSEX\this_week\+600\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,861.5799999999999,998.25,0
data\g6_data\SENSEX\this_week\+600\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,792.75,1000.9100000000001,0
data\g6_data\SENSEX\this_week\+600\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,585.46,839.6500000000001,0
data\g6_data\SENSEX\this_week\+600\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,368.42,716.5875,0
data\g6_data\SENSEX\this_week\+700\2025-09-15.csv,138,138,0,0,0,0,1757909070000,1757930340000,735.6,797.5,0
data\g6_data\SENSEX\this_week\+700\2025-09-16.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+700\2025-09-17.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+700\2025-09-18.csv,45,45,0,0,0,0,1758179610000,1758184770000,395.8,673.35,0
data\g6_data\SENSEX\this_week\+700\2025-09-19.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+700\2025-09-22.csv,418,418,0,0,209,0,1758519660000,1758535170000,598.6600000000001,792.55,0
data\g6_data\SENSEX\this_week\+700\2025-09-30.csv,432,432,0,0,8,0,1759209870000,1759226370000,608.3100000000001,802.1,0
data\g6_data\SENSEX\this_week\+700\2025-10-01.csv,201,201,0,0,1,0,1759298730000,1759308420000,612.9,1000.37,0
data\g6_data\SENSEX\this_week\+700\2025-10-03.csv,30,30,0,0,0,0,1759463460000,1759475160000,808.1500000000001,849.75,0
data\g6_data\SENSEX\this_week\+700\2025-10-06.csv,161,161,0,0,1,0,1759737990000,1759744260000,686.85,849.87,0
data\g6_data\SENSEX\this_week\+700\2025-10-07.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+700\2025-10-08.csv,368,368,0,0,0,0,1759901130000,1759917600000,424.78000000000003,788.3,0
data\g6_data\SENSEX\this_week\+700\2025-10-09.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+700\2025-10-10.csv,9,9,0,0,0,0,1760068350000,1760068800000,829.4,860.7299999999999,0
data\g6_data\SENSEX\this_week\+700\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,218.87,832.36,0
data\g6_data\SENSEX\this_week\+700\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,962.0,1065.0,0
data\g6_data\SENSEX\this_week\+700\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,871.4000000000001,996.72,0
data\g6_data\SENSEX\this_week\+700\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,799.1700000000001,162000.0,1
data\g6_data\SENSEX\this_week\+700\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,651.7,876.12,0
data\g6_data\SENSEX\this_week\+700\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,433.32000000000005,807.1,0
data\g6_data\SENSEX\this_week\+700\2025-10-31.csv,452,452,0,0,25,0,1761885210000,1761904800000,861.6700000000001,1038.4,0
data\g6_data\SENSEX\this_week\+700\2025-11-03.csv,531,531,0,0,0,0,1762139550000,1762163490000,838.0,1047.28,0
data\g6_data\SENSEX\this_week\+700\2025-11-04.csv,678,678,0,0,1,0,1762228890000,1762250400000,611.36,906.8000000000001,0
data\g6_data\SENSEX\this_week\+700\2025-11-06.csv,665,665,0,0,0,0,1762400490000,1762422360000,453.3,808.9499999999999,0
data\g6_data\SENSEX\this_week\+800\2025-09-15.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-09-16.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-09-17.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-09-18.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-09-19.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-09-22.csv,150,150,0,0,75,0,1758529680000,1758535170000,620.28,857.4499999999999,0
data\g6_data\SENSEX\this_week\+800\2025-09-30.csv,177,177,0,0,2,0,1759209870000,1759226370000,671.41,857.55,0
data\g6_data\SENSEX\this_week\+800\2025-10-01.csv,68,68,0,0,0,0,1759297560000,1759304550000,685.99,1063.56,0
data\g6_data\SENSEX\this_week\+800\2025-10-03.csv,92,92,0,0,0,0,1759482750000,1759485600000,830.3499999999999,1063.3899999999999,0
data\g6_data\SENSEX\this_week\+800\2025-10-06.csv,47,47,0,0,0,0,1759738830000,1759742520000,755.8,829.85,0
data\g6_data\SENSEX\this_week\+800\2025-10-07.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-10-08.csv,216,216,0,0,0,0,1759901640000,1759917600000,470.65999999999997,880.1999999999999,0
data\g6_data\SENSEX\this_week\+800\2025-10-09.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-10-10.csv,0,0,0,0,0,0,,,,,0
data\g6_data\SENSEX\this_week\+800\2025-10-23.csv,307,307,0,0,0,0,1761202230000,1761213600000,261.06,968.85,0
data\g6_data\SENSEX\this_week\+800\2025-10-24.csv,187,187,0,0,0,0,1761282060000,1761287640000,981.9100000000001,1111.9,0
data\g6_data\SENSEX\this_week\+800\2025-10-27.csv,479,479,0,0,5,0,1761540750000,1761558210000,904.34,1049.02,0
data\g6_data\SENSEX\this_week\+800\2025-10-28.csv,693,693,0,1,15,0,1761624000000,1761645600000,805.22,162000.0,1
data\g6_data\SENSEX\this_week\+800\2025-10-29.csv,671,671,0,0,0,0,1761711900000,1761732000000,711.3000000000001,952.6999999999999,0
data\g6_data\SENSEX\this_week\+800\2025-10-30.csv,567,567,0,0,3,0,1761795900000,1761818400000,499.69,897.05,0
