date,index,expiry_tag,offset,horizon,window,k,mode,latency_ms,baseline_latency_ms,ann_speedup,ann_q50_mad,ann_total_windows,ann_shortlisted,ann_prune_ratio,ann_build_ms,ann_index_mem_bytes
2025-09-30,NIFTY,this_week,+50,60,60,10,retrieval,434,2,0.004608294930875576,0.0,24,24,1.0,431,5760
2025-10-01,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,10,retrieval,2,3,1.5,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,10,retrieval,2,2,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,+50,60,60,10,auto,382,3,0.007853403141361256,0.0,24,24,1.0,1,5760
2025-10-01,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,10,auto,4,3,0.75,0.0,0,24,,0,5760
2025-10-08,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-09,NIFTY,this_week,+50,60,60,10,auto,4,3,0.75,0.0,0,24,,0,5760
2025-10-10,NIFTY,this_week,+50,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-24,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-28,NIFTY,this_week,+50,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-10-29,NIFTY,this_week,+50,60,60,10,auto,3,3,1.0,0.0,0,24,,0,5760
2025-10-30,NIFTY,this_week,+50,60,60,10,auto,5,5,1.0,0.0,0,24,,0,5760
2025-10-31,NIFTY,this_week,+50,60,60,10,auto,5,4,0.8,0.0,0,24,,0,5760
2025-11-03,NIFTY,this_week,+50,60,60,10,auto,3,4,1.3333333333333333,0.0,0,24,,0,5760
2025-11-04,NIFTY,this_week,+50,60,60,10,auto,6,6,1.0,0.0,0,24,,0,5760
2025-11-06,NIFTY,this_week,+50,60,60,10,auto,5,5,1.0,0.0,0,24,,0,5760
2025-09-30,NIFTY,this_week,+50,60,60,10,hybrid,371,3,0.008086253369272238,0.0,24,24,1.0,1,5760
2025-10-01,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-03,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
2025-10-07,NIFTY,this_week,+50,60,60,10,hybrid,3,3,1.0,0.0,0,24,,0,5760
